sensor_id,description,unit,info_province,info_municipality,Date,Reading,Temperature
CALC000041,Percentage reservoir volume,%,BARCELONA,CASTELLET I LA GORNAL,15/09/2023 12:00,48,24.3
CALC000041,Percentage reservoir volume,%,BARCELONA,CASTELLET I LA GORNAL,15/09/2023 06:00,47,20.4
CALC000041,Percentage reservoir volume,%,BARCELONA,CASTELLET I LA GORNAL,05/09/2023 18:00,49,26.4
CALC000041,Percentage reservoir volume,%,BARCELONA,CASTELLET I LA GORNAL,15/08/2023 18:00,50,28.2
CALC000041,Percentage reservoir volume,%,BARCELONA,CASTELLET I LA GORNAL,22/06/2023 06:00,21,22.4
CALC000041,Percentage reservoir volume,%,BARCELONA,CASTELLET I LA GORNAL,13/06/2023 00:00,63,21.1
CALC000041,Percentage reservoir volume,%,BARCELONA,CASTELLET I LA GORNAL,29/05/2023 00:00,66,16.6
CALC000041,Percentage reservoir volume,%,BARCELONA,CASTELLET I LA GORNAL,09/05/2023 18:00,24,21.2
CALC000041,Percentage reservoir volume,%,BARCELONA,CASTELLET I LA GORNAL,08/05/2023 18:00,67,21.8
CALC000041,Percentage reservoir volume,%,BARCELONA,CASTELLET I LA GORNAL,04/05/2023 12:00,68,20.3
CALC000041,Percentage reservoir volume,%,BARCELONA,CASTELLET I LA GORNAL,29/04/2023 00:00,69,15.8
CALC000041,Percentage reservoir volume,%,BARCELONA,CASTELLET I LA GORNAL,24/04/2023 00:00,70,15.5
CALC000041,Percentage reservoir volume,%,BARCELONA,CASTELLET I LA GORNAL,18/04/2023 06:00,71,10
CALC000041,Percentage reservoir volume,%,BARCELONA,CASTELLET I LA GORNAL,13/04/2023 06:00,72,10.4
CALC000041,Percentage reservoir volume,%,BARCELONA,CASTELLET I LA GORNAL,10/04/2023 00:00,73,11.6
CALC000041,Percentage reservoir volume,%,BARCELONA,CASTELLET I LA GORNAL,08/04/2023 00:00,33,10.8
CALC000041,Percentage reservoir volume,%,BARCELONA,CASTELLET I LA GORNAL,06/04/2023 00:00,74,12.4
CALC000041,Percentage reservoir volume,%,BARCELONA,CASTELLET I LA GORNAL,04/04/2023 18:00,34,14
